,Compound,Date,Negative,Neutral,Positive,Tweet_account,text
111,0.1867,Thu Jan 04 23:13:02 +0000 2018,0.89,0.0,0.11,@CBS,"new year, new episodes! don't miss all-new episodes of @bigbangtheory, @youngsheldon, @momcbs, @lifeinpiecescbs, an… https://t.co/cof6qg8mz1"
112,-0.296,Thu Jan 04 14:43:09 +0000 2018,0.879,0.121,0.0,@CBS,"current nominees @ladygaga, @littlebigtown, @pink, childish gambino and more will perform live at the #grammys, jan… https://t.co/pllmasnpwd"
113,0.5423,Wed Jan 03 20:33:09 +0000 2018,0.821,0.0,0.179,@CBS,"rt @startrekcbs: from airiam to zefram cochrane, #startrekdiscovery features fascinating new concepts along with classic references. what's…"
114,-0.5267,Wed Jan 03 19:51:15 +0000 2018,0.833,0.167,0.0,@CBS,torres and bishop went undercover as a criminal couple on the latest episode of #ncis. catch up now:… https://t.co/1itenehyjs
115,0.5423,Wed Jan 03 15:00:05 +0000 2018,0.857,0.0,0.143,@CBS,do you know all the nominees for artist of the year? get familiar with this year's grammy® award nominees ahead of… https://t.co/uqa8mu9puv
116,0.0,Wed Jan 03 12:00:01 +0000 2018,1.0,0.0,0.0,@CBS,"the new year of new episodes continues tonight with all-new episodes of #amazingrace, #sealteam and #criminalminds… https://t.co/bwhnhqgsfc"
117,-0.7692,Wed Jan 03 00:47:26 +0000 2018,0.733,0.267,0.0,@CBS,"rt @bullcbs: tonight, can #bull prove that a teen accused of robbing a jewelry store isn't responsible for the crime? tune in at 9/8c or st…"
118,0.8516,Tue Jan 02 22:41:51 +0000 2018,0.66,0.0,0.34,@CBS,it's your last chance to choose the pro football player with the best off-the-field talent! vote now to decide who… https://t.co/6djwqu0mb9
119,0.0,Tue Jan 02 08:00:03 +0000 2018,1.0,0.0,0.0,@CBS,"new year, new episodes -- all week long! it kicks off with an all-new #ncis, #bull and #ncisnola tonight starting a… https://t.co/bcmaauqjtf"
120,0.0,Mon Jan 08 18:07:57 +0000 2018,1.0,0.0,0.0,@CBS,rt @startrekcbs: #startrekdiscovery is back! episode 10 is now streaming on cbs all access: https://t.co/xpeb97rs8j https://t.co/uvgab7nggs
121,0.0,Mon Jan 08 14:34:48 +0000 2018,1.0,0.0,0.0,@CBS,"new year, new case. watch the latest episode of #ncisla now: https://t.co/1rasx4esib https://t.co/qzrzcork9r"
122,0.0,Mon Jan 08 14:29:20 +0000 2018,1.0,0.0,0.0,@CBS,rt @amazingracecbs: which teams are zipping through the first leg of the #amazingrace? https://t.co/8isawpyrly
123,0.0,Mon Jan 08 00:29:51 +0000 2018,1.0,0.0,0.0,@CBS,rt @madamsecretary: is vp hurst going to work with or against elizabeth? stream a new #madamsecretary live with cbs all access: https://t.c…
